Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Samuel Sylla;;Armee,politique et pouvoir a rome au dernier siecle de la republique (107-31 av jc);Daniele Roman;Roman Daniele;33123896;Montpellier 3;26404702;Histoire ancienne;enCours;06-10-2010;;;s61038;non;26-09-2011;05-04-2016
Xue Sun;;Le journalisme et la gestion mediatique en chine face aux crises et autres evenements inattendus .;Jean-Francois Vergnaud;Vergnaud Jean-Francois;31041841;Montpellier 3;26404702;Etudes chinoises;enCours;01-11-2010;;;s61045;non;26-09-2011;05-04-2016
Jean Ravet;;Le dispositif de garde a vue en france;Muriel Rebourg,Gildas Roussel;Rebourg Muriel,Roussel Gildas;50713760,085556;Brest;26403021;Droit prive;enCours;21-10-2010;;;s57654;non;26-09-2011;07-12-2015
Ahmed Tamdrari;;Analyse micro-sociolinguistique de la representation de la langue francaise dans la population maghrebine immigree en france.;Henri Boyer;Boyer Henri;;Montpellier 3;26404702;Sciences du langage;enCours;01-09-2005;;;s61484;non;26-09-2011;22-01-2015
Witold Rawicki;;Analyse strategique des pepinieres francaises au regard du contexte concurrentiel europeen: determinants et performances;Regis Dumoulin;Dumoulin Regis;139576576;Angers;26402920;Sciences de gestion;enCours;01-12-2006;;;s56244;non;26-09-2011;05-04-2016
Juan manuel Ruiz;;Experience mystique et vigilance critique chez simone weil - du temps humain et du temps deshumanisant des messianismes politiques;Georges Navet;Navet Georges;29296544;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;25-09-2006;28-11-2012;;s56265;non;26-09-2011;04-04-2016
Emeric Rollo;;Integration de connaissances pour le traitement d'images couleur : application a la valorisation du patrimoine medieval;Eric Palazzo;Palazzo Eric;30391474;Poitiers;26403765;Histoire de l'art;enCours;09-11-2004;;;s56282;non;26-09-2011;05-04-2016
Emmanuelle Rex;;La theorie du complot : representations du juif dans l'occident catholique et protestant de l'emancipation des juifs en france (1791) aux attentats du 11 septembre 2001.;Carol Iancu;Iancu Carol;;Montpellier 3;26404702;Histoire;enCours;21-10-2006;;;s56293;non;26-09-2011;22-01-2015
Edern Thebaud;;"Les ""produits frontiere"" dans la legislation alimentaire de l'Union Europeenne. Emergence d'une sante alimentaire entre logique du marche interieur et exigences de securite.";Joel Boudant,Marianne Dony;Boudant Joel,Dony Marianne;,;Nantes;26403447;Droit public;enCours;15-12-2006;05-10-2012;;s61941;non;26-09-2011;04-04-2016
Denis Roberge;;Signification et fonction des jeux dans le perou prehispanique et colonial.;Jean-Philippe Husson;Husson Jean-Philippe;28617258;Poitiers;26403765;Etudes hispaniques;enCours;01-04-2007;17-12-2012;;s56745;non;26-09-2011;05-04-2016
Helene Roy;;Le royaume neo-inca de vilcabamba (perou, 1537-1572) : etude historique et anthropologique;Jean-Philippe Husson;Husson Jean-Philippe;28617258;Poitiers;26403765;Etudes romanes;enCours;24-10-2007;10-12-2013;;s56751;non;26-09-2011;05-04-2016
Cathy Roche;;La place du pictural dans la poetique de paul durcan;Liliane Louvel;Louvel Liliane;32546408;Poitiers;26403765;Etudes anglophones;enCours;04-01-2008;03-12-2011;;s56752;non;26-09-2011;09-01-2012
Celia Cannac;;Les sources d'inspiration dans l'oeuvre de federigo tozzi : entre realisme et mysticisme.;Myriam Carminati,Romano Luperini;Carminati Myriam,Luperini Romano;52450074;Montpellier 3;26404702;Etudes italiennes;enCours;01-12-2004;;;s66716;non;26-09-2011;22-01-2015
Alexandra Costache babcihschi;;Arthur of little britain : un roman arthurien en moyen-anglais tardif : edition et etude;Stephen Morrisson,Madalina Nicolaescu;Morrisson Stephen,Nicolaescu Madalina;,;Poitiers;26403765;Litteratures anciennes;enCours;01-10-2005;14-12-2012;;s66717;non;26-09-2011;30-01-2013
Dalila Chine;;Les Celebrations de la Patrie Mexicaine. Manuels scolaires et ceremonies civiques.;Perla Petrich,Javier Perez Siller;Petrich Perla,Perez Siller Javier;60145501,0312137;Paris 8;26403552;Etudes hispano-americaines;enCours;01-11-2005;08-06-2012;;s66721;non;26-09-2011;04-04-2016
Luis jorge Da costa;;L'impact de l'education (specialement l'enseignement superieur) sur le developpement regional. etude d'une region peripherique jadis faiblement developpee au portugal.;Andre Robert,Alberto Carneiro;Robert Andre,Carneiro Alberto;,;Lyon 2;02640334X;Sciences de l'education;enCours;01-03-2005;17-09-2011;;s66767;non;26-09-2011;04-04-2016
Ondrej Daniel;;Les narrations historiographiques des communautes exilees d'ex-yougoslavie.;Frederic Rousseau,Luda Klusakova;Rousseau Frederic,Klusakova Luda;,;Montpellier 3;26404702;Histoire moderne et contemporaine;enCours;10-10-2005;;;s66781;non;26-09-2011;22-01-2015
Ricardo Da silveira;;Communication journalistique dans les entreprises : delimitation des frontieres et caracterisation;Denis Ruellan,Zelia Leal adghirni;Ruellan Denis,Leal adghirni Zelia;,;Rennes 1;02778715X;Sciences de l'information et de la communication;enCours;25-01-2008;;;s66784;non;26-09-2011;22-01-2015
Marjorie Dole;;Perception de la parole dans le bruit et Dyslexie : approches comportementale, neuroanatomique et fonctionnellelexique.;Fanny Meunier,Michel Hoen;Meunier Fanny,Hoen Michel;,;Lyon 2;02640334X;Sciences cognitives;enCours;01-12-2008;02-10-2012;;s66790;non;26-09-2011;26-11-2012
Katharina Schachl;;Le theme de la suivance et la place de la bible dans les quatres livres du vrai christianisme de j.arndt (1555-1621).;Hubert Bost;Bost Hubert;28323009;Montpellier 3;26404702;Histoire;enCours;19-12-2007;;;s59411;non;26-09-2011;22-01-2015
Mamadou salif Sow;;L'import des politiques de la gestion des ressources humaines sur les srategies des organisations internationales en afrique de l'ouest : le cas du senegal.;Jean-Michel Plane;Plane Jean-Michel;03484158X;Montpellier 3;26404702;Sciences de gestion;enCours;29-11-2007;;;s59413;non;26-09-2011;04-04-2016
Simon Sire;;L'arriere-plan sociologique de la seconde epitre de pierre.;Elian Cuvillier;Cuvillier Elian;05697292X;Montpellier 3;26404702;Etudes grecques et neo-helleniques;enCours;10-12-2007;;;s59433;non;26-09-2011;05-04-2016
Maud Ramette;;Les identites collectives juveniles dans le contexte des technologies de l'intelligence;Christian Lemoenne;Lemoenne Christian;;Rennes 2;54447658;Sciences de l'information et de la communication;enCours;10-11-2006;;;s56324;non;26-09-2011;22-01-2015
Valerie-anne Serviable;;La strategie seychelloise du developpement durable;Guy Fontaine;Fontaine Guy;;La Reunion;26404451;Geographie;enCours;01-10-2004;23-11-2009;;s58028;non;26-09-2011;26-04-2012
Noemie Scholastique;;La campagne europeenne internationale pour l'abolition de la peine de mort aux etats-unis.;Fabien Terpan;Terpan Fabien;05690388X;Toulouse 1;26404354;Science politique;enCours;01-12-2004;;;s58044;non;26-09-2011;22-01-2015
Florian Schuett;;L'utilisation des techniques de mechanism design pour encourager les innovations.;Jean Tirole;Tirole Jean;28736036;Toulouse 1;26404354;Sciences economiques;enCours;01-03-2005;;;s58049;non;26-09-2011;22-01-2015
Luc Simon;;Hans jonas et la religion.;Jean-Louis Vieillard-Baron;Vieillard-Baron Jean-Louis;27184447;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-12-2004;;;s58056;non;26-09-2011;04-04-2016
Claire Bruas (Savel);;La construction des valeurs des produits dans les catalogues de vente par correspondance. : approche semiotique.;Michel Costantini;Costantini Michel;130827673;Paris 8;26403552;Langues et litteratures Francaises;enCours;01-11-2004;16-02-2012;;s58060;non;26-09-2011;04-04-2016
Oumar Sy;;Impacts socio-economiques et forestiers de l'exploitation du charbon de bois dans les zones de coupe de la region de Tambacounda (Senegal);Herve Rakoto;Rakoto Herve;;Poitiers;26403765;Geographie;enCours;01-02-2005;;;s58097;non;26-09-2011;07-02-2012
Mickael Rolland;;La (les) contre-cultures(s) des annees 1968 en france.;Didier Francfort;Francfort Didier;31096581;Universite de Lorraine;157040569;Histoire moderne et contemporaine;enCours;31-01-2008;;;s56775;non;26-09-2011;28-06-2013
Audrey Roncigli;;Leonard bernstein, figure de mediateur culturel.;Didier Francfort;Francfort Didier;31096581;Universite de Lorraine;157040569;Histoire;enCours;29-01-2008;;;s56776;non;26-09-2011;28-06-2013
Rija Rakotomalala;;Musique et nouvelles technologies en droit de la propriete litteraire et artistique.;Patrick Tafforeau;Tafforeau Patrick;55664806;Universite de Lorraine;157040569;Droit prive;enCours;21-12-2007;;;s56784;non;26-09-2011;28-06-2013
Drina monica Troncoso (Roman choque);;Analyse du discours dans la presse bolivienne, cubaine, et venezulienne (2000-2007);Maryse Renaud;Renaud Maryse;34119590;Poitiers;26403765;Etudes hispaniques;enCours;01-10-2007;;;s56791;non;26-09-2011;22-01-2015
Stephane Sinde;;Esthetique du portrait dans le cinema documentaire contemporain.;Maxime Scheinfeigel;Scheinfeigel Maxime;69484341;Montpellier 3;26404702;Etudes cinematographiques et audiovisuel;enCours;01-11-2005;;;s58477;non;26-09-2011;22-01-2015
Luis fernando Sanchez de lozada q;;Trustes expres prives anglo-americains, trust internationl des paradis fiscaux et fideicommis latino-americain.;Marie Gore;Gore Marie;33775249;Paris 2;26403145;Droit public;enCours;01-11-2005;26-09-2012;;s58521;non;26-09-2011;04-04-2016
Mohamed El hioui;;L'exploration psychologique chez les enfants anemiques;Stephane Rusinek,Ahmed Ahami;Rusinek Stephane,Ahami Ahmed;68766742;Lille 3;26404524;Psychologie;enCours;05-07-2006;19-12-2008;;s66823;non;26-09-2011;04-04-2016
Gilles Fecelier;;Assumption of pragmatic markers within bertrand russell's thought.;Anne-Francoise Schmid,Nicholas Griffin;Schmid Anne-Francoise,Griffin Nicholas;56243871;Universite de Lorraine;157040569;Philosophie (metaphysique, epistemologie, esthetique);enCours;19-12-2008;;;s66852;non;26-09-2011;05-04-2016
Dieter Merlin (Hopf);;L' art de la projection. romantisme et deconstruction dans les films d' andre techine;Martin Rass,Andrea Allerkamp,Hans Wulff;Rass Martin,Allerkamp Andrea,Wulff Hans;067011748,08587826X,;Poitiers;26403765;Etudes cinematographiques et audiovisuel;enCours;30-11-2007;19-01-2012;;s66909;non;26-09-2011;30-01-2013
Nicola Spotorno;;Une serie d'etudes experimentales sur les metaphores, l'ironie et les figures de politesse;Ira A. Noveck;Noveck Ira A.;83958606;Lyon 2;02640334X;Sciences cognitives;enCours;24-02-2010;06-11-2012;;s61077;non;26-09-2011;05-04-2016
Laura Soudy;;Litterature et danse dans les textes en prose depuis la seconde guerre mondiale.;Helene Laplace-Claverie;Laplace-Claverie Helene;59877375;Avignon;26369044;Litteratures francaise et francophone;enCours;19-11-2010;;;s61108;non;26-09-2011;04-04-2016
Belisa Salazar;;L'influence interlinguistique sur la langue lors de l'acquisition plurilingue.;Regine Delamotte-Legrand;Delamotte-Legrand Regine;35138831;Rouen;26403919;Sciences du langage;enCours;01-11-2006;21-01-2013;;s58571;non;26-09-2011;04-04-2016
Clemence Segalas;;Architectes et architecture en languedoc et en roussillon de 1920 a 1962 : entre modernisme et regionalisme.;Jean-Francois Pinchon;Pinchon Jean-Francois;28746090;Montpellier 3;26404702;Histoire de l'art;enCours;05-09-2006;;;s58582;non;26-09-2011;05-04-2016
Mohamed-najib Smaili;;La responsabilite sociale de l'entreprise : des voies juridiques;Michele Bonnechere;Bonnechere Michele;33576459;Evry-Val d'Essonne;30820529;Droit Prive General;enCours;24-12-2005;31-05-2012;;s58587;non;26-09-2011;05-04-2016
Olivier Santoni;;Une approche communicationnelle de l'identite et des processus de subjectivation en corse.;Francoise Albertini;Albertini Francoise;;Corte;29473284;Sciences de l'information et de la communication;enCours;14-12-2009;;;s60285;non;26-09-2011;22-01-2015
Momoko Sone;;Vers un regionalisme asiatiques;Jean Joana;Joana Jean;50349783;Toulouse 1;26404354;Science politique;enCours;08-01-2010;;;s60304;non;26-09-2011;22-01-2015
Jean-marc Sarale;;Argumentation, sequences textuelles et dialogisme : analyse contrastive du traitement journalistique de la question des eoliennes dans les presses ecrites francaise et japonaise (2006-2009);Jacques Bres;Bres Jacques;28744365;Montpellier 3;26404702;Sciences du langage;enCours;14-10-2009;;;s60314;non;26-09-2011;23-04-2012
Stephane Sabatier;;Liberte contractuelle et operations portant sur des titres financiers admis a la negociation sur un marche reglemente;Thierry Bonneau;Bonneau Thierry;30105471;Paris 2;26403145;Droit des affaires;enCours;06-01-2010;;;s60328;non;26-09-2011;15-02-2012
Sylvain Stoerckler;;Les enjeux des elections professionnelles;Pierre Fadeuilhe;Fadeuilhe Pierre;91011477;Toulouse 1;26404354;Droit social;enCours;03-02-2010;;;s60356;non;26-09-2011;22-01-2015
Elise Montel;;Erri de luca de la traduction a l'ecriture;Perette-Cecile Buffaria,Grazia Melli fioravanti;Buffaria Perette-Cecile,Melli fioravanti Grazia;70412820;Poitiers;26403765;Etudes italiennes;enCours;30-09-2008;;;s67045;non;26-09-2011;05-04-2016
Francesco Quartuccio;;Les enjeux territoriaux, socio-economiques, et environnementaux de l'implantation des incinerateurs. etude comparee des cas de acerra (naples, italie) et de fos (marseille, france).;Raffaele Cattedra,Rosario Sommella;Cattedra Raffaele,Sommella Rosario;69972095;Montpellier 3;26404702;Geographie;enCours;28-11-2007;;;s67141;non;26-09-2011;02-05-2012
Aude Tekaya (Rycx);;La frauce et l'evasion fiscales. Regards croises France-Emirats Arabes unis;Vincent Cattoir-Jonville;Cattoir-Jonville Vincent;03042609X;Lille 2;26404389;Droit public;enCours;01-12-2005;20-03-2012;;s55931;non;26-09-2011;04-04-2016
Aleksandra Rowalska;;Le syncretisme entre traditions classique et biblique dans la reine des fees d'edmund spenser.;Yves Peyre;Peyre Yves;;Montpellier 3;26404702;Etudes anglophones;enCours;01-11-2005;;;s55950;non;26-09-2011;22-01-2015
Marco Rampazzo bazzan;;Fichte et rousseau.;Jean-Christophe Goddard;Goddard Jean-Christophe;29103622;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;;;s55970;non;26-09-2011;04-04-2016
Pouspam Ramsamy;;Entre maratre et bonne mere, l'ecole des ecrivains francophones : etude comparee des litteratures subsahariennes, antillaise et reunionnaise.;Marie-Christine Rochmann;Rochmann Marie-Christine;52497585;Montpellier 3;26404702;Litteratures et civilisations comparees;enCours;01-10-2005;;;s55973;non;26-09-2011;06-04-2016
Gerard Trouilhet;;La notion de patrimoine culturel en droit public.;Jean-Arnaud Mazeres;Mazeres Jean-Arnaud;32631839;Toulouse 1;26404354;Droit public;enCours;01-12-2005;;;s61499;non;26-09-2011;04-04-2016
Gudrun Tetzloff;;Service public et daseinsvorsorge sous l'influence du droit communautaire.;Marc Blanquet;Blanquet Marc;32075952;Toulouse 1;26404354;Droit public;enCours;01-11-2005;;;s61500;non;26-09-2011;22-01-2015
Laurent Tamanini;;De la cinephile en litterature : poetique de la filmicite dans le roman anglo-americain;Gilles Menegaldo;Menegaldo Gilles;;Poitiers;26403765;Etudes anglophones;enCours;01-12-2005;14-09-2012;;s61522;non;26-09-2011;30-01-2013
Angelique Touzot;;La pluralite des jugements et criteres esthetiques : de Kant a l'anti-art;Maryvonne Perrot;Perrot Maryvonne;;Dijon;02819005X;Philosophie, epistemologie;enCours;20-10-2005;18-12-2014;;s61527;non;26-09-2011;24-06-2015
Linda Sansico;;Recompositions agricoles et migrations internationales;Patrick Gonin,Patrick Pillon;Gonin Patrick,Pillon Patrick;,03043730X;Poitiers;26403765;Sociologie;enCours;03-04-2009;;;s60379;non;26-09-2011;22-01-2015
Nutcha Tachatongsuk;;L'institution du commissaire du gouvernement devant la juridiction administrative : etude comparee en droit thailandais et en droit francais.;Wanda Mastor;Mastor Wanda;59679751;Toulouse 1;26404354;Droit public;enCours;10-09-2007;;;s61950;non;26-09-2011;22-01-2015
Gregoire Tosser;;Contribution a l'esthetique musicale de la mort et de l'incompletude : l'exemple de gyorgy kurtag.;Herve Lacombe;Lacombe Herve;;Rennes 2;54447658;Musique et musicologie;enCours;09-11-2007;;;s61981;non;26-09-2011;22-01-2015
Lasaad Turki;;Recherches sur la preuve en droit international prive;Arnaud Raynouard;Raynouard Arnaud;78666392;Toulouse 1;26404354;Droit prive;enCours;10-09-2007;;;s61992;non;26-09-2011;22-01-2015
Thi bich ngoc Tran;;Modelisation et gestion des risques sur les marches boursiers emergents:recherche d'enseignements pour le marche boursier vietnamien.;Franck Martin,Jean-Sebastien Pentecote;Martin Franck,Pentecote Jean-Sebastien;0,123329183;Rennes 1;02778715X;Sciences economiques;enCours;05-02-2008;;;s61997;non;26-09-2011;05-04-2016
Aline Tanelian;;L'efficacite des pactes d'actionnaires dans les societes non cotees (etude comparative entre les droits francais et libanais);Michel Germain;Germain Michel;;Paris 2;26403145;Droit prive;enCours;20-11-2007;20-01-2012;;s62004;non;26-09-2011;01-02-2012
Emilie Saunier;;La sociologie implicite dans l'oeuvre litteraire d'amelie nothomb.;Bernard Lahire;Lahire Bernard;32018282;Lyon 2;02640334X;Sociologie;enCours;01-12-2006;17-09-2012;;s58956;non;26-09-2011;30-03-2016
Ewa Stachurska;;Le 'dire' des contes : analyse de l'enonciation et de la modalisation autonymique dans un corpus des contes de tradition orale en plusieurs langes romanes (francais, occitan, espagnol, catalan, portugais).;Liliane Jagueneau;Jagueneau Liliane;26934159;Poitiers;26403765;Sciences du langage;enCours;01-11-2006;;;s59011;non;26-09-2011;06-01-2012
Anastassia Hecquard (Sakhnovskaia-pankeeva);;L'influence de la comedie italienne a la naissance du theatre de la foire et de l'opera-comique, xviieme et xviiieme siecles.;Francoise Rubellin;Rubellin Francoise;29463920;Nantes;26403447;Litteratures francaise et francophone;enCours;10-04-2007;15-11-2013;;s59033;non;26-09-2011;05-04-2016
Lei Song;;La question de la distance pour les pme dans le commercie ne ligne (b2b) entre la france et la chine.;Gilles Puel;Puel Gilles;;Toulouse 1;26404354;Sciences economiques;enCours;26-11-2007;;;s60619;non;26-09-2011;22-01-2015
Stephane Riou;;Analyse du discours et traitement automatique des formations discursives.;Paul Siblot;Siblot Paul;31550215;Montpellier 3;26404702;Sciences du langage;enCours;01-11-2005;;;s55987;non;26-09-2011;22-01-2015
Cecile Ribeaux;;La notion d'acquet en droit des regimes matrimoniaux.;Marc Nicod;Nicod Marc;58652345;Toulouse 1;26404354;Droit public;enCours;01-11-2005;;;s56003;non;26-09-2011;22-01-2015
Alexandra Rigaud;;Controles nationaux et communaute des operations de concentration au sein du secteur media.;Serge Regourd;Regourd Serge;27093115;Toulouse 1;26404354;Droit public;enCours;01-10-2005;;;s56007;non;26-09-2011;22-01-2015
Hidayat Rakhmat;;La politique de l'enseignement superieur en Indonesie apres l'Ordre nouveau : autonomie et responsabilite dans l'universite publique;Jean-Louis Derouet;Derouet Jean-Louis;29439825;Lyon 2;02640334X;Sciences de l'education;enCours;15-11-2010;13-12-2013;;s57698;non;26-09-2011;05-04-2016
Claude Roldos;;Technique et psychanalyse;Jean-Bernard Paturet;Paturet Jean-Bernard;30075017;Montpellier 3;26404702;Psychanalyse;enCours;01-10-2010;;;s57725;non;26-09-2011;04-04-2016
Tristan Renard;;De l'infirmerie a la clinique du crime : les prises en charges des criminels sexuels.;Francois Sicot;Sicot Francois;59205660;Toulouse 2;26403994;Sociologie;enCours;01-10-2010;;;s57741;non;26-09-2011;05-04-2016
Marzieh Rouhani;;Maupassant et les images : peinture, cinema et television;Francoise Alexandre;Alexandre Francoise;30385008;Universite de Lorraine;157040569;Litteratures et civilisations comparees;enCours;21-02-2011;;;s57773;non;26-09-2011;04-04-2016
Sabrina Trouchon;;L'ecole de dessin de poitiers et sa place dans l'histoire de l'enseignement des arts du dessin au xviiieme siecle;Veronique Meyer;Meyer Veronique;;Poitiers;26403765;Histoire de l'art;enCours;01-01-2005;;;s61605;non;26-09-2011;22-01-2015
Joseph Riz kallah;;L'instruction devant le juge administratif : etude comparee de droit libanais et francais.;Francis Chauvin,Sami Salhab;Chauvin Francis,Salhab Sami;28303717;Rennes 1;02778715X;Droit public;enCours;20-10-2006;;;s56364;non;26-09-2011;22-01-2015
Paul Ralle;;La socialisation des enfants dans la cour de recreation par la gestuelle emblematique;Francoise Reumaux,Louis Quere;Reumaux Francoise,Quere Louis;27096009,0270859;Poitiers;26403765;Sociologie;enCours;25-09-2006;;;s56409;non;26-09-2011;06-04-2016
Abdellah Tassa;;Le moi et l'autre dans la litterature feminine marocaine.;Francois Bessire;Bessire Francois;55385796;Rouen;26403919;Litteratures et civilisations comparees;enCours;04-03-2008;10-05-2014;;s62038;non;26-09-2011;05-04-2016
Bertrand Royer;;Patrimoine vivant et tourisme durable en afrique de l'ouest. le cas du pays lobi au burkina faso;Michele Cros;Cros Michele;;Lyon 2;02640334X;Anthropologie;enCours;15-11-2007;12-11-2012;;s56814;non;26-09-2011;30-03-2016
Frederique Rolin;;Le revirement de jurisprudence en droit communautaire;Fabrice Picod;Picod Fabrice;57219559;Paris 2;26403145;Droit communautaire;enCours;22-09-2008;;;s56830;non;26-09-2011;04-04-2016
Youenn Riou;;Les violences scolaires : une question de gestion des distances dans l'acte educatif;Omar Zanna;Zanna Omar;71583092;Le Mans;26404435;Sciences du langage;enCours;01-10-2007;;;s56873;non;26-09-2011;27-11-2012
Nicolas Redon;;La peine et le droit civil.;Yves Mayaud;Mayaud Yves;27019810;Paris 2;26403145;Droit prive;enCours;27-10-2008;;;s56876;non;26-09-2011;16-12-2011
Jamel Saadaoui;;Desequilibres globaux, taux de change d'equilibre et modelisation stock-flux coherente;Jacques Mazier;Mazier Jacques;27020649;Paris 13;02640463X;Sciences economiques;enCours;04-11-2009;26-11-2012;;s60690;non;26-09-2011;30-06-2014
Melanie Torres-arnau;;L'elaboration d'un style architectural national en slovenie 1850-1950;Jean-Francois Pinchon;Pinchon Jean-Francois;28746090;Montpellier 3;26404702;Histoire de l'art;enCours;06-10-2008;;;s62399;non;26-09-2011;05-04-2016
Christiane Sanou;;Etude communicationnelle des nations unies au mali;Maxime Poty;Poty Maxime;;Montpellier 3;26404702;Sciences de l'information et de la communication;enCours;07-09-2007;;;s59527;non;26-09-2011;23-04-2012
Cathy Stampfler;;Les accidents aeriens.;Marie-france Steinle-feverbach;Steinle-feverbach Marie-france;;Mulhouse;26403250;Droit public;enCours;01-01-2007;;;s59571;non;26-09-2011;22-01-2015
Sangwoo Shim;;Ethique et politique dans la pensee d'emmanuel levinas.;Gilbert Vincent;Vincent Gilbert;;Strasbourg;131056549;Sciences des religions;enCours;01-12-2003;06-02-2008;;s58187;non;26-09-2011;13-10-2014
Pablo Steinberg;;Construction et interpretation de systemes et langages musicaux a partir du yijing ou livre des transformations.;Jean-Paul Resweber;Resweber Jean-Paul;27095819;Universite de Lorraine;157040569;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2004;;;s58224;non;26-09-2011;04-04-2016
Estelle Senele;;La vaisselle en verre en poitou-charentes (xiii-xvii siecles).;Claude Andrault-Schmitt;Andrault-Schmitt Claude;35391251;Poitiers;26403765;Histoire de l'art;enCours;01-10-2005;;;s58227;non;26-09-2011;04-04-2016
Carmen maria De torres (Sandoval figueroa);;Pour une etude comprehensive des enfants travailleurs domestiques d'origine andine a lima : logiques de deplacement, de vie et de travail en ville.;Angeline Peralva;Peralva Angeline;;Toulouse 2;26403994;Sociologie;enCours;27-09-2006;;;s58595;non;26-09-2011;04-04-2016
Marie-laure Sara;;L'inquietude dans les recueils posthumes de pablo neruda;Fernando Moreno;Moreno Fernando;;Poitiers;26403765;Etudes hispano-americaines;enCours;01-10-2006;;;s58604;non;26-09-2011;29-02-2012
Lia Sicard-philipson;;Les 'beautiful losers' une contribution au renouveau de l'art et des cultures anglo-saxonnes des annees 1970 a nos jours.;Jean-Francois Pinchon;Pinchon Jean-Francois;28746090;Montpellier 3;26404702;Histoire de l'art;enCours;17-10-2006;;;s58678;non;26-09-2011;05-04-2016
Mohammed Tidjini;;L'integration regionale en afrique fondee sur l'eau.;Christophe Euzet;Euzet Christophe;80086519;Perpignan;26403692;Droit public;enCours;24-06-2009;12-07-2010;;s62485;non;26-09-2011;21-02-2013
Seyed mohammad Tabatabaei yeganeh;;Determinants et consequences du plafonnement de carriere en iran;Olivier Herrbach;Herrbach Olivier;96703016;Bordeaux 4;34137823;Sciences de gestion;enCours;10-04-2009;13-09-2011;;s62500;non;26-09-2011;17-01-2012
Valerie Simon;;La reforme des autorisations d'occupation du sol, notamment le permis de construire et les nouveaux droits pour les constructeurs et les administres.;Yves Gry;Gry Yves;32553234;Universite de Lorraine;157040569;Droit public;enCours;29-01-2008;;;s59596;non;26-09-2011;28-06-2013
Celine Schoch;;Le traitement penal des affaires de sante publique.;Marie-france Feverbach;Feverbach Marie-france;;Mulhouse;26403250;Droit prive;enCours;01-06-2008;;;s59598;non;26-09-2011;22-01-2015
Amalini Simon camilus selcaratnam;;De la langue de ma mere a celle de lecole Parcours langagier des enfants tamouls du Sri Lanka.;Marie Rose Moro;Moro Marie Rose;33591695;Paris 13;02640463X;Psychologie;enCours;02-10-2008;16-12-2011;;s61168;non;26-09-2011;04-04-2016
Oleksandr Tretyakou;;Amenagement regional et bioenergie.;Jean Pihan;Pihan Jean;;Rennes 2;54447658;Geographie;enCours;01-11-2004;;;s61228;non;26-09-2011;22-01-2015
Maki Ruaud (Terada);;Fonctionnement de l'interactivite franco-japonaise dans le cours de fle et son application sur la conception de methodologies de fle.;Michele Verdelhan-Bourgade;Verdelhan-Bourgade Michele;58613455;Montpellier 3;26404702;Sciences du langage;enCours;01-11-2004;;;s61246;non;26-09-2011;04-04-2016
Simon Suzineau;;Le contentieux contractuel et conventionnel dans la jurisprudence recente du cirdi.;Alain Pellet;Pellet Alain;;Universite de Lorraine;157040569;Droit public;enCours;01-11-2005;;;s58237;non;26-09-2011;28-06-2013
Edelina-lavinia Stefan;;L'interlangue chez les apprenants de francais en roumanie : etude de cas;Patrice Brasseur;Brasseur Patrice;02675018X;Avignon;26369044;Sciences du langage;enCours;01-02-2009;18-07-2011;;s59957;non;26-09-2011;11-04-2013
Sourabad Said mohamed;;La construction des identites noires : normes et resistances;Jean-Claude Bourdin;Bourdin Jean-Claude;32088043;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;03-03-2009;;;s59966;non;26-09-2011;04-04-2016
Zo Ravelomanantsoa;;Amenagement regional du territoire et gouvernance fonciere des bassins versants de l'alaotra;Jean-philippe Tonneau;Tonneau Jean-philippe;;Montpellier 3;26404702;Geographie;enCours;02-05-2009;;;s57275;non;26-09-2011;22-01-2015
Frederic Steinbach;;Guerre et tempetes, dynamique spatiale, patrimoine et effets de resilience sur les forets detruites (1914 a 2010).;Jean-pierre Husson;Husson Jean-pierre;;Universite de Lorraine;157040569;Geographie;enCours;04-12-2006;;;s59043;non;26-09-2011;28-06-2013
Severine Salvi-bonne;;La persona lyrique dans la poesie amoureuse du premier xviie siecle, de malherbe a voiture;Alain Genetiot;Genetiot Alain;34363181;Universite de Lorraine;157040569;Litteratures francaise et francophone;enCours;05-12-2006;;;s59056;non;26-09-2011;05-04-2016
Camille Renaudin;;Les cotonculteurs africains dans la mondialisation.;Sylvie Brunel;Brunel Sylvie;;Montpellier 3;26404702;Geographie;enCours;01-09-2005;;;s56023;non;26-09-2011;22-01-2015
Rachid Rhannif;;Etude geomorphologique et hydrogeologique de la vallee de l'ourika dans le haut atlas de marrakech (maroc).;Serge Ochietti;Ochietti Serge;;Universite de Lorraine;157040569;Geographie physique;enCours;01-12-2005;;;s56029;non;26-09-2011;28-06-2013
